prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
32,0,1,True,1937404.799991782,952379.9999442417,20550638.000258915,20550638.000258915
32,32,1,True,6710760.300029506,959469.9999979639,115656818.99992342,115656818.99992342
32,64,1,True,8990987.25001295,975104.9999522365,160965354.9999166,160965354.9999166
32,96,1,True,9282930.549989032,968629.9999884795,166920764.99975884,166920764.99975884
32,128,1,True,9282752.200033428,983274.4999584975,166713914.9999457,166713914.9999457
32,160,1,True,9831436.7000512,967349.9998825719,177898383.99994552,177898383.99994552
32,192,1,True,10605385.050007498,968670.0000202109,193481682.99984536,193481682.99984536
32,224,1,True,10439975.850044902,961539.5001674187,190184191.9998333,190184191.9998333
32,256,1,True,9509208.20000647,964954.9999721785,171434554.99990523,171434554.99990523
32,288,1,True,13195908.249963395,980554.4998471305,245071137.99973014,245071137.99973014
32,320,1,True,13023191.749994112,985890.0002654991,241557287.99996722,241557287.99996722
32,352,1,True,12726718.800104208,975445.0002219528,235728957.9999815,235728957.9999815
32,384,1,True,12947051.349897265,962834.999882034,240305087.99978635,240305087.99978635
32,416,1,True,15571563.000003152,957155.0001510332,292763922.9997112,292763922.9997112
32,448,1,True,14958807.200014235,945940.000065093,280848213.99988866,280848213.99988866
32,480,1,True,15302078.14998903,956085.0000980281,287527813.9999864,287527813.9999864
64,0,1,True,2270045.8000144865,952105.0001239928,27196797.99974983,27196797.99974983
64,64,1,True,11649869.400025636,962019.5000934473,214401159.9998521,214401159.9998521
64,128,1,True,11266465.550011162,977229.4999947917,206297732.00016645,206297732.00016645
64,192,1,True,16524373.29996701,960264.0000139218,311823501.9996973,311823501.9996973
64,256,1,True,15712719.149996702,966479.5002208848,295588523.9998679,295588523.9998679
64,320,1,True,20970686.650093738,976585.0002168008,400543704.0000288,400543704.0000288
64,384,1,True,20439088.699936293,969230.000009702,389985974.99994504,389985974.99994504
64,448,1,True,26301210.19994931,961264.9998871348,507324153.0003543,507324153.0003543
96,0,1,True,2274903.249963245,948755.0000812917,27280167.999833792,27280167.999833792
96,96,1,True,11665278.450050209,956674.999997631,214736220.00030446,214736220.00030446
96,192,1,True,16956922.44993552,963784.9998398451,320440801.0001316,320440801.0001316
96,288,1,True,24394669.750017785,972169.000078793,469122977.00009733,469122977.00009733
96,384,1,True,21971978.000078708,976745.0001163525,420450781.999989,420450781.999989
128,0,1,True,2216121.300057239,941199.9999429099,26166676.999764603,26166676.999764603
128,128,1,True,11794151.000026431,955850.0000821368,217246310.0000641,217246310.0000641
128,256,1,True,18868838.24997767,967090.0001310656,358558297.99993443,358558297.99993443
128,384,1,True,27373374.999979205,970509.4998935238,528713012.00002563,528713012.00002563
128,0,1,True,939670.7500400225,935160.0001537008,991719.000012381,991719.000012381
128,128,1,True,941229.0500677045,936705.5001803237,972040.0003061513,972040.0003061513
128,256,1,True,971401.0000834605,961649.9999083317,1117480.0001754193,1117480.0001754193
128,384,1,True,962840.4000295631,954675.0000026805,1012510.0002369436,1012510.0002369436
160,0,1,True,2461920.200039458,950449.4998964219,31038067.000281446,31038067.000281446
160,160,1,True,29371000.80005166,971165.0000099326,568636357.9998215,568636357.9998215
160,320,1,True,22719384.499919213,971334.9998037302,435506389.9997731,435506389.9997731
192,0,1,True,2392643.799976213,960224.4999769027,29368966.999754775,29368966.999754775
192,192,1,True,31933000.600065496,975470.0001849415,619655673.0001248,619655673.0001248
224,0,1,True,2476942.700013751,952999.9999813299,31260187.000043515,31260187.000043515
224,224,1,True,35908023.54999596,972314.9998990266,699308136.000127,699308136.000127
256,0,1,True,2485380.7000454254,950469.9999069999,31443747.00013941,31443747.00013941
256,256,1,True,21286583.65004412,967780.0001099968,406947323.00016767,406947323.00016767
288,0,1,True,3040839.3501147656,958695.0000084471,42178616.00000106,42178616.00000106
320,0,1,True,2967458.200009787,951509.500055181,41036405.99987557,41036405.99987557
352,0,1,True,2982143.749977695,943055.0001070515,41510366.00023872,41510366.00023872
384,0,1,True,2979659.750008068,957375.0000981818,41106196.99986273,41106196.99986273
416,0,1,True,3245100.7000190658,954424.9999180465,46453415.999621935,46453415.999621935
448,0,1,True,3221298.1499924352,965969.9999247096,45692236.000377305,45692236.000377305
480,0,1,True,3377661.799959242,956914.9999606452,49077936.00023069,49077936.00023069
512,0,1,True,3239038.799961236,955099.999828235,46313035.99990133,46313035.99990133
32,0,1,True,943303.9000896316,935895.0001114863,973709.9999256316,973709.9999256316
64,0,1,True,940323.900022122,933945.0000425131,967680.0000306685,967680.0000306685
96,0,1,True,956969.3500225185,946394.5000334206,1045770.0000188197,1045770.0000188197
128,0,1,True,956657.8999965714,947465.000081138,1024089.9996460939,1024089.9996460939
160,0,1,True,951807.4499510475,946560.0001021812,993549.9997482111,993549.9997482111
192,0,1,True,957777.8999982912,947859.5002292423,1025399.9998894869,1025399.9998894869
224,0,1,True,958279.4000607464,947505.0001128693,1036379.9997321621,1036379.9997321621
256,0,1,True,956176.5000171363,950529.9999545969,980400.0001167879,980400.0001167879
288,0,1,True,958115.3499993889,950079.9997113063,994500.0001607696,994500.0001607696
320,0,1,True,959073.9000486792,955484.5000820933,1010780.0003424927,1010780.0003424927
352,0,1,True,971351.4999702966,962559.9998344114,1027580.0000272284,1027580.0000272284
384,0,1,True,966134.350073844,963689.5001676749,995240.000065678,995240.000065678
416,0,1,True,969962.3500409871,964170.0000884157,1045089.9999341345,1045089.9999341345
448,0,1,True,983104.9000240455,962729.9998555827,1236889.9997454719,1236889.9997454719
480,0,1,True,969853.4500557799,967700.5002686201,1004018.9999926952,1004018.9999926952
0,32,1,False,4834495.549971507,972754.5000259852,77793092.99985471,77793092.99985471
0,64,1,False,6271807.900066051,975159.5000579982,106482560.99966602,106482560.99966602
0,96,1,False,6381145.000023025,993535.0001342158,108295840.00020987,108295840.00020987
0,128,1,False,5721492.649990978,981505.5002491135,95340061.99965006,95340061.99965006
0,160,1,False,7932673.300024362,986994.9999483651,139621227.00013423,139621227.00013423
0,192,1,False,8266548.149958908,977739.4998309319,146372416.99983862,146372416.99983862
0,224,1,False,8240316.29995261,967305.0001310912,146034586.0000416,146034586.0000416
0,256,1,False,7628461.750027781,983225.0000272325,133455448.00040443,133455448.00040443
0,288,1,False,10425578.100034727,979124.9999580032,189638943.00031826,189638943.00031826
0,320,1,False,9986074.500011455,979325.0001166598,180712652.99977311,180712652.99977311
0,352,1,False,10244927.649978308,983120.0000007811,185768754.000037,185768754.000037
0,384,1,False,9511118.150066977,982180.0001645897,171274024.00001302,171274024.00001302
0,416,1,False,12270403.000002261,961360.0000193401,226771310.00000373,226771310.00000373
0,448,1,False,12069247.950080354,967160.0000729086,222599720.00028938,222599720.00028938
0,480,1,False,12480200.39995481,973914.9998040375,230682218.99984565,230682218.99984565
0,512,1,False,11257882.949917074,965210.0000039354,206482650.9999875,206482650.9999875
0,544,1,False,9470549.249999749,976704.5000899088,170560045.000002,170560045.000002
0,576,1,False,9020480.699950894,977260.0001269893,161382535.00002974,161382535.00002974
0,608,1,False,8946564.349935215,978384.999825721,160016105.00006792,160016105.00006792
0,640,1,False,8888719.10005946,977574.9997515959,158905206.00032687,158905206.00032687
0,672,1,False,10257460.599882506,986094.9999165314,186106122.99971762,186106122.99971762
0,704,1,False,9877287.649987921,962869.9997392687,178752982.99986753,178752982.99986753
0,736,1,False,10190281.549989777,982159.9999213504,184832463.00002065,184832463.00002065
0,768,1,False,9230090.099958943,985845.0000592711,165605343.99968675,165605343.99968675
0,800,1,False,11283786.95000265,975125.0001954759,206685600.9996627,206685600.9996627
0,832,1,False,11110126.049993597,982045.0000006531,203183501.9997743,203183501.9997743
0,864,1,False,10772846.049940199,984124.4998369802,196140381.99961215,196140381.99961215
0,896,1,False,11152624.99997698,995674.4997907663,203805292.00019738,203805292.00019738
0,928,1,False,12569585.300093422,985554.9999429059,232249018.99993712,232249018.99993712
0,960,1,False,11807843.849987876,995800.0000551692,216876670.99968165,216876670.99968165
0,992,1,False,11686387.849999847,988074.4999009039,214471690.00020948,214471690.00020948
0,1024,1,False,11518312.55003799,996315.0000658061,210900790.99985814,210900790.99985814
0,1024,1,False,986048.4000455472,978110.0000054721,1046970.0000612647,1046970.0000612647
0,1088,1,False,10930426.049958441,1001215.0000875408,199381932.00005117,199381932.00005117
0,1152,1,False,10096258.999965357,983464.4999955344,182761542.99974224,182761542.99974224
0,1216,1,False,9455764.100016495,985089.499863534,170004844.99976665,170004844.99976665
0,1280,1,False,10069424.549965333,987399.9999854277,182269522.99983168,182269522.99983168
0,1344,1,False,9787724.650004748,980579.0000427805,176680194.00025514,176680194.00025514
0,1408,1,False,9329981.099995166,978894.9998892349,167626844.00009674,167626844.00009674
0,1472,1,False,13067305.700042197,995719.500224368,242074178.0001663,242074178.0001663
0,1536,1,False,12290883.800005758,977829.5000160142,226893738.9999337,226893738.9999337
0,1600,1,False,10184911.05000976,979069.9998575292,184626473.00020763,184626473.00020763
0,1664,1,False,10056387.599934168,987084.9999060738,181956873.00021747,181956873.00021747
0,1728,1,False,10743113.94995675,988179.9999220675,195792011.99985617,195792011.99985617
0,1792,1,False,10921346.949999133,1004415.0001249363,199025550.999977,199025550.999977
0,1856,1,False,11664965.400086658,1009104.4998716825,213833849.99990085,213833849.99990085
0,1920,1,False,11555628.90000965,1003849.5001936099,211711560.99990186,211711560.99990186
0,1984,1,False,12716000.299997177,998659.9998228485,234758768.00011975,234758768.00011975
0,2048,1,False,11781882.95000382,997804.9999972427,216380060.00011957,216380060.00011957
0,2112,1,False,13326743.349944081,988564.9999432644,247303057.9999431,247303057.9999431
0,2176,1,False,12537902.44998072,1008525.5000831239,231377098.9999284,231377098.9999284
0,2240,1,False,11076300.850004373,994374.5001237403,202152281.00005335,202152281.00005335
0,2304,1,False,11092076.54999409,1002125.0000136206,202491351.9999245,202491351.9999245
0,2368,1,False,13789156.400048342,982205.5001222907,256740766.9998829,256740766.9998829
0,2432,1,False,13683770.399939021,992320.0000230281,254482636.99991003,254482636.99991003
0,2496,1,False,14252891.599971917,995509.4999440917,265714345.00010583,265714345.00010583
0,2560,1,False,13466546.299946457,993679.9999650248,250040377.0000048,250040377.0000048
0,2624,1,False,12381685.35001023,981225.000032282,228570288.99989018,228570288.99989018
0,2688,1,False,11600920.449996011,981110.0001115847,212812389.9997263,212812389.9997263
0,2752,1,False,15145722.600050248,993539.5003140002,283695834.0003548,283695834.0003548
0,2816,1,False,15338027.150005473,999794.9998705735,286972034.9999625,286972034.9999625
0,2880,1,False,15433511.149944933,999279.9998599367,289417154.000148,289417154.000148
0,2944,1,False,15649256.600022454,988584.4999644178,293847803.0000624,293847803.0000624
0,3008,1,False,13944804.250036214,994779.4999334292,259651425.99989122,259651425.99989122
0,3072,1,False,12925401.199981933,989625.0001020235,239150077.99996603,239150077.99996603
0,3136,1,False,10887644.949957576,988699.9998798274,198555871.9998153,198555871.9998153
0,3200,1,False,10420538.149969615,995049.9998012674,189012123.00033876,189012123.00033876
0,3264,1,False,10749818.049998794,982255.0000535557,195844152.00006333,195844152.00006333
0,3328,1,False,10866163.64996189,994054.999864602,198030671.0001969,198030671.0001969
0,3392,1,False,11410289.350078529,996640.000039406,208881710.99977627,208881710.99977627
0,3456,1,False,11468603.949947465,994484.9998646532,210073931.99988654,210073931.99988654
0,3520,1,False,12044098.849969488,1005894.9999347533,221455009.9997723,221455009.9997723
0,3584,1,False,11695732.449970819,986074.4996785797,214817731.0000392,214817731.0000392
0,3648,1,False,11930168.94997072,989180.0000332296,219408621.0001842,219408621.0001842
0,3712,1,False,12016717.899996364,996049.9999124295,220898799.99975893,220898799.99975893
0,3776,1,False,12088325.499939855,988484.9998798018,222521389.99965608,222521389.99965608
0,3840,1,False,12368171.349953627,996519.999944212,227959799.0000184,227959799.0000184
0,3904,1,False,12553644.950025955,988499.9999485444,231668829.00022757,231668829.00022757
0,3968,1,False,12528586.850021385,992485.0000970764,231242458.9999864,231242458.9999864
0,4032,1,False,13257888.750035819,1008020.0001993944,245723977.00012517,245723977.00012517
0,4096,1,False,12877663.850053977,995959.5001873822,238268967.99982932,238268967.99982932
0,4096,1,False,999596.4500603804,990120.0000967947,1067599.0001800528,1067599.0001800528
0,4352,1,False,13276543.799997853,997274.9999178632,246173236.99976623,246173236.99976623
0,4608,1,False,14120711.649979968,1009599.500321201,262898076.00005588,262898076.00005588
0,4864,1,False,12814598.800036946,1008855.0000091345,236826578.0000911,236826578.0000911
0,5120,1,False,14333510.150026996,1001379.9999342154,267074146.0001409,267074146.0001409
0,5376,1,False,12496761.450051963,1001365.0000928465,230490679.0000132,230490679.0000132
0,5632,1,False,14430212.150000444,1015269.9999252945,268944266.99982435,268944266.99982435
0,5888,1,False,21093674.950020615,1039909.9999176542,401637768.0000005,401637768.0000005
0,6144,1,False,13966059.850008605,1011429.9998349452,259742629.99989152,259742629.99989152
0,6400,1,False,11951075.09997797,1021394.999952463,219202711.99996933,219202711.99996933
0,6656,1,False,14040146.84997037,1027545.0001699937,260943679.9998548,260943679.9998548
0,6912,1,False,12301738.000019213,1027140.0001329312,226086871.0000068,226086871.0000068
0,7168,1,False,14556330.749974223,1025114.499952906,271333187.9999714,271333187.9999714
0,7424,1,False,12537261.89995632,1032859.499900951,230660981.00025555,230660981.00025555
0,7680,1,False,13276406.950058118,1030554.9999429786,245598649.99991986,245598649.99991986
0,7936,1,False,13735292.000046683,1061235.4999466334,253680100.00011054,253680100.00011054
0,8192,1,False,13673207.800070485,1044054.9999657378,253159189.00014368,253159189.00014368
0,8448,1,False,14202845.399950093,1031900.0000436063,263883199.00024727,263883199.00024727
0,8704,1,False,14985037.700080283,1048214.9998551904,278928997.00009364,278928997.00009364
0,8960,1,False,13518846.950023545,1035580.0000070303,250328940.00014493,250328940.00014493
0,9216,1,False,14572840.250048103,1046445.0001563819,271236098.0003723,271236098.0003723
0,9472,1,False,14143470.199996956,1044944.9996485782,262601409.0001263,262601409.0001263
0,9728,1,False,15603492.250033924,1043949.9999392865,291864896.9998685,291864896.9998685
0,9984,1,False,13145540.450022964,1044854.9999182433,242696191.00005,242696191.00005
0,10240,1,False,15064833.300039027,1059949.9998988905,280746296.9999506,280746296.9999506
0,10496,1,False,16741046.600009212,1069495.0001379766,314100255.0000849,314100255.0000849
0,10752,1,False,15510128.750020158,1063115.0000790511,289622375.9998975,289622375.9998975
0,11008,1,False,14250897.999977497,1069245.0000533427,264358987.99991265,264358987.99991265
0,11264,1,False,14893606.750024445,1081884.0000865748,276923708.0001403,276923708.0001403
0,11520,1,False,14098327.400051858,1151599.9999573978,259649678.9997218,259649678.9997218
0,11776,1,False,15607479.750065068,1158050.00018554,289800377.0001196,289800377.0001196
0,12032,1,False,15455149.249942224,1168844.4999435889,286636326.99999654,286636326.99999654
0,12288,1,False,15241666.450037884,1168495.5002237984,282318497.00023305,282318497.00023305
0,12544,1,False,14190121.79985657,1167644.999895856,261283948.99978957,261283948.99978957
0,12800,1,False,15772583.249986382,1207860.0000222651,292177166.9998634,292177166.9998634
0,13056,1,False,16693494.200035274,1198214.5001638855,310781775.00012314,310781775.00012314
0,13312,1,False,15587149.749990202,1192409.9999305326,288615797.0001477,288615797.0001477
0,13568,1,False,13330925.450031828,1227545.0001197895,242859980.00004837,242859980.00004837
0,13824,1,False,16575067.750045491,1217615.0000868803,308042005.00006115,308042005.00006115
0,14080,1,False,13817148.849875594,1211164.4996366522,252800279.999974,252800279.999974
0,14336,1,False,15542839.399927288,1229645.499961407,286992526.9997111,286992526.9997111
0,14592,1,False,15616351.199901147,1656424.4997425703,280394907.0003,280394907.0003
0,14848,1,False,17454585.4499911,1679429.9999673967,316804345.00003684,316804345.00003684
0,15104,1,False,15201073.250023,1700249.500117934,271358347.99992156,271358347.99992156
0,15360,1,False,17066318.150023106,1701045.0001180288,308615375.0000449,308615375.0000449
0,15616,1,False,16158411.749961488,1716425.0000405447,290210437.00004154,290210437.00004154
